start_station,end_station,directions_time_min,same_line,interchange_station,metro_distance_km,start_lat,start_lng,end_lat,end_lng,start_place_id,end_place_id,start_line,end_line,transfer_count
Whitefield (Kadugodi),Hopefarm Channasandra,2.0,True,,1.167,12.995626,77.75780499999999,12.987348,77.753796,ChIJOdwilxcOrjsR-6MvlsusM00,ChIJMRmA3xoOrjsRCp8oIXTX9RM,Purple Line,Purple Line,0
Hopefarm Channasandra,Whitefield (Kadugodi),2.0,True,,1.167,12.987348,77.753796,12.995626,77.75780499999999,ChIJMRmA3xoOrjsRCp8oIXTX9RM,ChIJOdwilxcOrjsR-6MvlsusM00,Purple Line,Purple Line,0
Whitefield (Kadugodi),Kadugodi Tree Park,4.0,True,,2.202,12.995626,77.75780499999999,12.985711,77.746842,ChIJOdwilxcOrjsR-6MvlsusM00,ChIJS_ojywIOrjsRVtyLn4BoNnw,Purple Line,Purple Line,0
Kadugodi Tree Park,Whitefield (Kadugodi),4.0,True,,2.202,12.985711,77.746842,12.995626,77.75780499999999,ChIJS_ojywIOrjsRVtyLn4BoNnw,ChIJOdwilxcOrjsR-6MvlsusM00,Purple Line,Purple Line,0
Whitefield (Kadugodi),Pattandur Agrahara,6.0,True,,3.255,12.995626,77.75780499999999,12.987622,77.737737,ChIJOdwilxcOrjsR-6MvlsusM00,ChIJ1-At8uQRrjsRU3foUV135ok,Purple Line,Purple Line,0
Pattandur Agrahara,Whitefield (Kadugodi),6.0,True,,3.255,12.987622,77.737737,12.995626,77.75780499999999,ChIJ1-At8uQRrjsRU3foUV135ok,ChIJOdwilxcOrjsR-6MvlsusM00,Purple Line,Purple Line,0
Whitefield (Kadugodi),Sri Sathya Sai Hospital,9.0,True,,4.825,12.995626,77.75780499999999,12.98122,77.72753999999999,ChIJOdwilxcOrjsR-6MvlsusM00,ChIJr5Fc2vMRrjsRF4WM58uQkS4,Purple Line,Purple Line,0
Sri Sathya Sai Hospital,Whitefield (Kadugodi),9.0,True,,4.825,12.98122,77.72753999999999,12.995626,77.75780499999999,ChIJr5Fc2vMRrjsRF4WM58uQkS4,ChIJOdwilxcOrjsR-6MvlsusM00,Purple Line,Purple Line,0
Whitefield (Kadugodi),Nallurhalli,11.0,True,,5.606,12.995626,77.75780499999999,12.976632,77.724752,ChIJOdwilxcOrjsR-6MvlsusM00,ChIJx9bz-_QRrjsRNU3ib6xyMXs,Purple Line,Purple Line,0
Nallurhalli,Whitefield (Kadugodi),11.0,True,,5.606,12.976632,77.724752,12.995626,77.75780499999999,ChIJx9bz-_QRrjsRNU3ib6xyMXs,ChIJOdwilxcOrjsR-6MvlsusM00,Purple Line,Purple Line,0
